Z,element,atomic_weight,photo,photo_error,meteo,meteo_error,adopted,adopted_error
1,H,1.008,12.0,,8.22,0.04,12.0,
2,He,4.002602,10.93,0.01,1.29,,10.93,0.01
3,Li,6.94,1.05,0.1,3.26,0.05,1.05,0.1
4,Be,9.0121831,1.38,0.09,1.3,0.03,1.38,0.09
5,B,10.81,2.7,0.2,2.79,0.04,2.7,0.2
6,C,12.011,8.43,0.05,7.39,0.04,8.43,0.05
7,N,14.007,7.83,0.05,6.26,0.06,7.83,0.05
8,O,15.999,8.69,0.05,8.4,0.04,8.69,0.05
9,F,18.998403163,4.56,0.3,4.42,0.06,4.56,0.3
10,Ne,20.1797,7.93,0.1,-1.12,,7.93,0.1
11,Na,22.98976928,6.24,0.04,6.27,0.02,6.24,0.04
12,Mg,24.305,7.6,0.04,7.53,0.01,7.6,0.04
13,Al,26.9815385,4.65,0.03,6.43,0.01,4.65,0.03
14,Si,28.085,7.51,0.03,7.51,0.01,7.51,0.03
15,P,30.973761998,5.41,0.03,5.43,0.04,5.41,0.03
16,S,32.06,7.12,0.03,7.15,0.02,7.12,0.03
17,Cl,35.45,5.5,0.3,5.23,0.06,5.5,0.3
18,Ar,39.948,6.4,0.13,-0.5,,6.4,0.13
19,K,39.0983,5.03,0.09,5.08,0.02,5.03,0.09
20,Ca,40.078,6.34,0.04,6.29,0.02,6.34,0.04
21,Sc,44.955908,3.15,0.04,3.05,0.02,3.15,0.04
22,Ti,47.867,4.95,0.05,4.91,0.03,4.95,0.05
23,V,50.9415,3.93,0.08,3.96,0.02,3.93,0.08
24,Cr,51.9961,5.64,0.04,5.64,0.01,5.64,0.04
25,Mn,54.938044,5.43,0.04,5.48,0.01,5.43,0.04
26,Fe,55.845,7.5,0.04,7.45,0.01,7.5,0.04
27,Co,58.933194,4.99,0.07,4.87,0.01,4.99,0.07
28,Ni,58.6934,6.22,0.04,6.2,0.01,6.22,0.04
29,Cu,63.546,4.19,0.04,4.25,0.04,4.19,0.04
30,Zn,65.38,4.56,0.05,4.63,0.04,4.56,0.05
31,Ga,69.723,3.04,0.09,3.08,0.02,3.04,0.09
32,Ge,72.63,3.65,0.1,3.58,0.04,3.65,0.1
33,As,74.921595,,,2.3,0.04,2.3,0.04
34,Se,78.971,,,3.34,0.03,3.34,0.03
35,Br,79.904,,,2.54,0.06,2.54,0.06
36,Kr,83.798,3.25,0.06,-2.27,,3.25,0.06
37,Rb,85.4678,2.52,0.1,2.36,0.03,2.52,0.1
38,Sr,87.62,2.87,0.07,2.88,0.03,2.87,0.07
39,Y,88.90584,2.21,0.05,2.17,0.04,2.21,0.05
40,Zr,91.224,2.58,0.04,2.53,0.04,2.58,0.04
41,Nb,92.90637,1.46,0.04,1.41,0.04,1.46,0.04
42,Mo,95.95,1.88,0.08,1.94,0.04,1.88,0.08
44,Ru,101.07,1.75,0.08,1.76,0.03,1.75,0.08
45,Rh,102.9055,0.91,0.1,1.06,0.04,0.91,0.1
46,Pd,106.42,1.57,0.1,1.65,0.02,1.57,0.1
47,Ag,107.8682,0.94,0.1,1.2,0.02,0.94,0.1
48,Cd,112.414,,,1.71,0.03,1.71,0.03
49,In,114.818,0.8,0.2,0.76,0.03,0.8,0.2
50,Sn,118.71,2.04,0.1,2.07,0.06,2.04,0.1
51,Sb,121.76,,,1.01,0.06,1.01,0.06
52,Te,127.6,,,2.18,0.03,2.18,0.03
53,I,126.90447,,,1.55,0.08,1.55,0.08
54,Xe,131.293,2.24,0.06,-1.95,,2.24,0.06
55,Cs,132.90545196,,,1.08,0.02,1.08,0.02
56,Ba,137.327,2.18,0.09,2.18,0.03,2.18,0.09
57,La,138.90547,1.1,0.04,1.17,0.02,1.1,0.04
58,Ce,140.116,1.58,0.04,1.58,0.02,1.58,0.04
59,Pr,140.90766,0.72,0.04,0.76,0.03,0.72,0.04
60,Nd,144.242,1.42,0.04,1.45,0.02,1.42,0.04
62,Sm,150.36,0.96,0.04,0.94,0.02,0.96,0.04
63,Eu,151.964,0.52,0.04,0.51,0.02,0.52,0.04
64,Gd,157.25,1.07,0.04,1.05,0.02,1.07,0.04
65,Tb,158.92535,0.3,0.1,0.32,0.03,0.3,0.1
66,Dy,162.5,1.1,0.04,1.13,0.02,1.1,0.04
67,Ho,164.93033,0.48,0.11,0.47,0.03,0.48,0.11
68,Er,167.259,0.92,0.05,0.92,0.02,0.92,0.05
69,Tm,168.93422,0.1,0.04,0.12,0.03,0.1,0.04
70,Yb,173.045,0.84,0.11,0.92,0.02,0.84,0.11
71,Lu,174.9668,0.1,0.09,0.09,0.02,0.1,0.09
72,Hf,178.49,0.85,0.04,0.71,0.02,0.85,0.04
73,Ta,180.94788,,,-0.12,0.04,-0.12,0.04
74,W,183.84,0.85,0.12,0.65,0.04,0.85,0.12
75,Re,186.207,,,0.26,0.02,0.26,0.02
76,Os,190.23,1.4,0.08,1.35,0.03,1.4,0.08
77,Ir,192.217,1.38,0.07,1.32,0.02,1.38,0.07
78,Pt,195.084,,,1.62,0.03,1.62,0.03
79,Au,196.966569,0.92,0.1,0.8,0.04,0.92,0.1
80,Hg,200.592,,,1.17,0.08,1.17,0.08
81,Tl,204.38,0.9,0.2,0.77,0.03,0.9,0.2
82,Pb,207.2,1.75,0.1,2.04,0.03,1.75,0.1
83,Bi,208.9804,,,0.65,0.04,0.65,0.04
90,Th,232.0377,0.02,0.1,0.06,0.03,0.02,0.1
92,U,238.02891,,,-0.54,0.03,-0.54,0.03
